日期,开盘价,收盘价,最高价,最低价,成交量,成交额
2024-01-02,1715.0,1685.01,1718.19,1678.1,32156.0,5440082548.0
2024-01-03,1681.11,1694.0,1695.22,1676.33,20229.0,3411400667.0
2024-01-04,1693.0,1669.0,1693.0,1662.93,21551.0,3603970147.0
2024-01-05,1661.33,1663.36,1678.66,1652.11,20243.0,3373155627.0
2024-01-08,1661.0,1643.99,1662.0,1640.01,25586.0,4211918629.0
2024-01-09,1641.01,1641.0,1652.32,1635.07,24412.0,4009826496.0
2024-01-10,1641.1,1641.5,1659.46,1638.0,17351.0,2856120718.0
2024-01-11,1640.1,1646.57,1657.94,1638.06,16441.0,2708764500.0
2024-01-12,1639.97,1643.06,1651.26,1639.4,11603.0,1908084612.0
2024-01-15,1635.0,1640.0,1654.97,1634.45,17854.0,2931202343.0
2024-01-16,1638.5,1639.43,1647.0,1624.94,25903.0,4236042960.0
2024-01-17,1630.0,1577.0,1635.48,1577.0,51633.0,8251735591.0
2024-01-18,1574.0,1610.87,1612.8,1555.55,60440.0,9566349514.0
2024-01-19,1608.87,1635.0,1638.01,1600.88,46378.0,7550144389.0
2024-01-22,1629.0,1642.0,1643.0,1618.88,46946.0,7678297836.0
2024-01-23,1632.01,1619.0,1639.95,1609.0,34835.0,5659457115.0
2024-01-24,1629.0,1626.0,1633.84,1603.56,33216.0,5373603703.0
2024-01-25,1626.82,1638.0,1641.0,1622.0,31206.0,5094508165.0
2024-01-26,1630.36,1637.32,1644.1,1623.0,26955.0,4402111882.0
2024-01-29,1640.3,1650.0,1660.58,1640.29,31421.0,5189014946.0
2024-01-30,1649.98,1613.0,1649.98,1610.0,30866.0,5010784454.0
2024-01-31,1613.0,1604.91,1619.97,1598.13,29649.0,4770104891.0
2024-02-01,1605.5,1610.03,1623.89,1601.0,26485.0,4272298576.0
2024-02-02,1615.0,1596.0,1627.78,1581.0,39382.0,6336691194.0
2024-02-05,1596.0,1630.01,1637.44,1595.25,53130.0,8590683071.0
2024-02-06,1630.01,1676.0,1685.48,1626.1,52472.0,8740646588.0
2024-02-07,1681.03,1710.99,1714.59,1661.61,52601.0,8899606867.0
2024-02-08,1720.01,1706.0,1725.0,1685.0,46757.0,7953438044.0
2024-02-19,1737.87,1695.43,1737.93,1688.0,36977.0,6288277980.0
2024-02-20,1697.36,1670.0,1697.36,1656.56,34470.0,5755266893.0
2024-02-21,1666.02,1717.66,1731.0,1662.0,46154.0,7868784082.0
2024-02-22,1707.5,1718.38,1723.01,1700.53,22794.0,3905984695.0
2024-02-23,1711.11,1714.09,1724.38,1700.02,27306.0,4670706950.0
2024-02-26,1708.0,1694.98,1708.74,1685.02,27318.0,4625594409.0
2024-02-27,1683.0,1689.5,1692.92,1678.0,22080.0,3718478358.0
2024-02-28,1688.92,1681.55,1696.57,1674.01,31867.0,5371312847.0
2024-02-29,1681.55,1695.0,1696.5,1679.2,24758.0,4184917973.0
2024-03-01,1690.0,1685.06,1694.97,1676.68,26868.0,4526845398.0
2024-03-04,1679.0,1676.3,1680.99,1670.05,26485.0,4434401015.0
2024-03-05,1670.81,1695.1,1697.0,1666.68,36238.0,6102136582.0
2024-03-06,1691.0,1680.55,1695.0,1678.02,22142.0,3725582802.0
2024-03-07,1680.0,1683.63,1689.8,1678.0,21599.0,3633934774.0
2024-03-08,1680.56,1671.43,1686.68,1670.05,22156.0,3710678522.0
2024-03-11,1675.0,1694.49,1698.88,1673.18,29895.0,5048394347.0
2024-03-12,1693.94,1745.0,1749.1,1690.5,54227.0,9393309052.0
2024-03-13,1739.97,1727.45,1748.0,1720.1,26500.0,4588879420.0
2024-03-14,1719.0,1716.63,1734.84,1711.5,19405.0,3338768308.0
2024-03-15,1712.5,1717.49,1732.4,1712.0,17834.0,3066692399.0
2024-03-18,1715.0,1708.26,1719.85,1699.0,26055.0,4446059130.0
2024-03-19,1703.0,1708.02,1719.94,1693.11,23948.0,4093701261.0
2024-03-20,1703.36,1709.6,1713.68,1700.23,15249.0,2604543856.0
2024-03-21,1708.1,1709.0,1719.0,1704.5,16596.0,2839332631.0
2024-03-22,1705.03,1701.35,1708.99,1688.0,25456.0,4318592818.0
2024-03-25,1698.54,1689.01,1698.77,1680.58,24473.0,4131446237.0
2024-03-26,1687.46,1709.29,1712.8,1687.46,28069.0,4782899074.0
2024-03-27,1705.0,1701.0,1712.0,1699.0,18113.0,3087792980.0
2024-03-28,1695.0,1701.64,1718.0,1693.2,24642.0,4201857059.0
2024-03-29,1701.64,1702.9,1710.99,1698.1,13457.0,2290584417.0
2024-04-01,1709.99,1721.33,1734.0,1708.7,27131.0,4679371035.0
2024-04-02,1722.0,1713.99,1724.99,1705.05,25449.0,4360973684.0
2024-04-03,1734.0,1715.11,1739.44,1710.02,29046.0,5002390042.0
2024-04-08,1695.0,1666.66,1696.0,1662.6,59167.0,9907355766.0
2024-04-09,1660.67,1662.22,1673.0,1658.45,25590.0,4256226333.0
2024-04-10,1662.27,1647.98,1664.99,1645.0,27631.0,4562853880.0
2024-04-11,1640.11,1648.0,1650.0,1634.69,22766.0,3736417595.0
2024-04-12,1651.0,1634.03,1664.0,1634.03,26744.0,4403968129.0
2024-04-15,1635.01,1672.98,1675.61,1634.98,35818.0,5960815532.0
2024-04-16,1665.49,1670.0,1679.56,1659.0,26266.0,4382796962.0
2024-04-17,1668.0,1667.0,1675.2,1658.0,24819.0,4130322018.0
2024-04-18,1659.01,1670.78,1682.98,1658.18,26568.0,4445487745.0
2024-04-19,1660.78,1646.64,1668.5,1641.28,23500.0,3879233242.0
2024-04-22,1654.0,1675.06,1678.88,1645.0,29951.0,5001684635.0
2024-04-23,1675.0,1692.28,1695.0,1675.0,24980.0,4217855279.0
2024-04-24,1696.98,1693.6,1699.91,1683.33,17086.0,2893555635.0
2024-04-25,1690.33,1693.04,1695.6,1682.25,14476.0,2447183879.0
2024-04-26,1694.0,1709.43,1714.0,1693.98,30996.0,5290248521.0
2024-04-29,1696.95,1704.0,1728.0,1693.82,41332.0,7072096590.0
2024-04-30,1705.01,1705.0,1729.88,1705.0,30760.0,5273902374.0
2024-05-06,1733.97,1760.2,1765.0,1727.0,59909.0,10504351712.0
2024-05-07,1765.79,1770.0,1777.8,1756.68,24925.0,4413196426.0
2024-05-08,1769.69,1763.97,1769.97,1755.67,14769.0,2603293863.0
2024-05-09,1758.0,1756.0,1764.98,1750.0,22387.0,3929804849.0
2024-05-10,1761.1,1738.98,1767.88,1733.99,26207.0,4571398242.0
2024-05-13,1732.02,1706.0,1732.66,1701.22,37662.0,6435415674.0
